day_rel_effective,ADD_caar_%,DEL_caar_%
-20,0.043,-0.281
-19,0.144,0.016
-18,0.372,0.334
-17,0.545,0.265
-16,0.747,0.1
-15,1.077,-0.299
-14,1.081,-0.172
-13,1.095,-0.103
-12,1.34,-0.076
-11,1.228,-0.115
-10,1.263,0.236
-9,1.589,0.295
-8,1.756,0.271
-7,1.704,0.039
-6,1.92,-0.236
-5,2.147,-0.455
-4,2.36,-0.64
-3,2.715,-0.748
-2,3.0,-0.461
-1,3.425,-0.037
0,3.609,-0.499
1,3.378,-0.891
2,3.307,-1.14
3,3.176,-1.056
4,3.287,-1.036
5,3.27,-0.998
6,3.101,-1.2
7,3.175,-0.385
8,3.364,-0.513
9,3.32,-0.281
10,3.281,0.032
11,3.229,-0.182
12,3.274,-0.04
13,3.387,-0.28
14,3.462,-0.358
15,3.609,-0.077
16,3.454,-0.071
17,3.327,-0.112
18,3.411,-0.088
19,3.467,-0.072
20,3.456,0.035
