year,n,avg_net_%,hit
2005,5.0,-0.491,0.4
2006,15.0,3.574,0.667
2007,34.0,2.918,0.735
2008,48.0,-2.154,0.625
2009,32.0,1.244,0.469
2010,20.0,-0.697,0.4
2011,21.0,0.804,0.571
2012,27.0,1.165,0.667
2013,34.0,1.652,0.618
2014,21.0,2.515,0.762
2015,42.0,1.759,0.595
2016,40.0,-0.483,0.65
2017,37.0,0.399,0.486
2018,35.0,-0.947,0.429
2019,27.0,1.572,0.481
2020,37.0,2.098,0.568
2021,29.0,1.34,0.379
2022,29.0,-0.875,0.379
2023,26.0,3.355,0.808
2024,36.0,0.855,0.528
2025,36.0,3.615,0.583
2026,11.0,4.575,0.818
